"zone","state","lga","sector","ea","hhid","s11aq1","s11aq2"
2,2,216,2,200,20034,1,1
2,2,216,2,200,20035,1,2
2,2,216,2,200,20036,1,2
2,2,216,2,200,20037,1,2
2,2,216,2,200,20038,1,1
2,2,216,2,200,20039,1,2
2,2,216,2,200,20040,1,2
2,2,203,2,1224,20041,1,2
2,2,203,2,1224,20042,1,2
2,2,203,2,1224,20043,1,1
2,2,203,2,1224,20044,1,1
2,2,203,2,1224,20045,1,2
2,2,203,2,1224,20046,1,1
2,2,203,2,1224,20047,1,1
2,2,203,2,1224,20048,1,2
2,2,203,2,1224,20049,1,2
2,2,203,2,1224,20050,1,1
2,2,212,2,956,20051,1,1
2,2,212,2,956,20052,1,2
2,2,212,2,956,20053,1,1
2,2,212,2,956,20054,1,1
2,2,212,2,956,20055,1,2
2,2,212,2,956,20056,1,1
2,2,212,2,956,20057,1,1
2,2,212,2,956,20058,1,1
2,2,212,2,956,20059,1,2
2,2,212,2,956,20060,1,1
2,2,210,2,1300,20061,1,1
2,2,210,2,1300,20062,1,1
2,2,210,2,1300,20063,1,2
2,2,210,2,1300,20064,1,2
2,2,210,2,1300,20065,,1
2,2,210,2,1300,20066,1,1
2,2,210,2,1300,20067,1,1
2,2,210,2,1300,20068,1,2
2,2,210,2,1300,20069,1,1
2,2,210,2,1300,20070,1,1
2,2,214,2,898,20072,1,1
2,2,214,2,898,20073,1,2
2,2,214,2,898,20074,1,1
2,2,214,2,898,20075,1,1
2,2,214,2,898,20077,1,1
2,2,214,2,898,20078,2,2
2,2,214,2,898,20080,1,2
2,2,215,1,8,20081,1,2
2,2,215,1,8,20082,1,1
2,2,215,1,8,20083,1,2
2,2,215,1,8,20085,1,2
2,2,215,1,8,20086,1,2
2,2,215,1,8,20087,2,2
2,2,215,1,8,20088,1,2
2,2,215,1,8,20089,1,1
2,2,215,1,8,20090,1,1
2,2,207,2,1302,20091,1,2
2,2,207,2,1302,20092,2,1
2,2,207,2,1302,20093,1,1
2,2,207,2,1302,20094,1,2
2,2,207,2,1302,20095,1,2
2,2,207,2,1302,20096,1,1
2,2,207,2,1302,20097,1,2
2,2,207,2,1302,20098,1,2
2,2,207,2,1302,20099,1,2
2,2,207,2,1302,20100,1,1
2,2,205,2,712,20101,1,1
2,2,205,2,712,20102,1,2
2,2,205,2,712,20103,1,2
2,2,205,2,712,20104,1,1
2,2,205,2,712,20105,1,2
2,2,205,2,712,20106,1,1
2,2,205,2,712,20107,1,2
2,2,205,2,712,20108,1,2
2,2,205,2,712,20109,1,1
2,2,205,2,712,20110,1,1
2,2,218,2,1592,20111,1,2
2,2,218,2,1592,20112,1,2
2,2,218,2,1592,20113,1,2
2,2,218,2,1592,20114,1,2
2,2,218,2,1592,20115,1,1
2,2,218,2,1592,20116,1,2
2,2,218,2,1592,20117,,
2,2,218,2,1592,20118,1,2
2,2,218,2,1592,20119,1,2
2,2,218,2,1592,20120,1,2
5,3,331,1,2322,30001,1,1
5,3,331,1,2322,30005,1,2
5,3,331,1,516,30011,1,1
5,3,331,1,516,30020,1,2
5,3,316,2,874,30021,1,2
5,3,316,2,874,30026,1,2
5,3,316,2,874,30028,1,2
5,3,309,2,478,30032,1,2
5,3,309,2,478,30033,1,1
5,3,309,2,478,30038,1,2
5,3,309,2,478,30040,1,1
5,3,307,1,634,30042,2,2
5,3,307,1,634,30043,1,1
5,3,307,1,634,30045,1,1
5,3,307,1,634,30047,1,1
5,3,307,1,634,30048,1,2
5,3,307,1,634,30049,1,1
5,3,321,2,364,30052,1,2
5,3,321,2,364,30054,1,1
5,3,321,2,364,30056,1,1
5,3,321,2,364,30057,1,2
5,3,321,2,364,30058,1,1
5,3,321,2,364,30059,1,2
5,3,321,2,364,30060,1,1
5,3,329,2,696,30061,1,1
5,3,329,2,696,30062,1,2
5,3,329,2,696,30063,1,1
5,3,329,2,696,30065,1,2
5,3,329,2,696,30067,1,1
5,3,329,2,696,30069,1,2
5,3,329,2,696,30070,1,2
5,3,323,2,580,30071,1,1
5,3,323,2,580,30072,1,2
5,3,323,2,580,30073,1,2
5,3,323,2,580,30074,1,1
5,3,323,2,580,30075,1,1
5,3,323,2,580,30076,1,1
5,3,323,2,580,30077,1,1
5,3,323,2,580,30078,1,1
5,3,323,2,580,30080,1,2
5,3,318,2,1136,30084,1,1
5,3,318,2,1136,30087,1,1
5,3,318,2,1136,30088,1,1
5,3,318,2,1136,30089,1,1
5,3,318,2,1136,30090,1,1
5,3,313,2,70,30091,1,1
5,3,313,2,70,30093,1,1
5,3,313,2,70,30094,1,1
5,3,313,2,70,30096,1,2
5,3,313,2,70,30097,1,2
5,3,313,2,70,30098,1,2
5,3,313,2,70,30099,1,2
5,3,313,2,70,30100,1,2
5,3,301,1,1198,30101,1,1
5,3,301,1,1198,30102,1,2
5,3,301,1,1198,30104,1,1
5,3,301,1,1198,30105,1,1
5,3,301,1,1198,30108,1,2
5,3,301,1,1198,30109,1,2
5,3,301,1,1198,30110,1,2
5,3,326,2,74,30111,1,2
5,3,326,2,74,30112,1,2
5,3,326,2,74,30113,1,1
5,3,326,2,74,30115,1,2
5,3,326,2,74,30116,1,2
5,3,326,2,74,30117,1,2
5,3,326,2,74,30119,1,2
5,3,326,2,74,30120,1,2
5,3,305,2,1542,30121,1,1
5,3,305,2,1542,30122,1,2
5,3,305,2,1542,30123,1,2
5,3,305,2,1542,30124,1,2
5,3,305,2,1542,30125,1,1
5,3,305,2,1542,30126,1,2
5,3,305,2,1542,30127,1,2
5,3,305,2,1542,30128,1,1
5,3,305,2,1542,30129,1,2
5,3,305,2,1542,30130,1,1
5,3,312,2,20,30131,1,2
5,3,312,2,20,30132,1,2
5,3,312,2,20,30133,1,1
5,3,312,2,20,30134,1,1
5,3,312,2,20,30135,1,1
5,3,312,2,20,30136,1,2
5,3,312,2,20,30137,1,
5,3,312,2,20,30138,1,2
5,3,312,2,20,30139,1,2
5,3,312,2,20,30140,1,1
5,3,305,2,4,30141,1,1
5,3,305,2,4,30142,1,1
5,3,305,2,4,30143,1,2
5,3,305,2,4,30144,1,2
5,3,305,2,4,30145,1,1
5,3,305,2,4,30147,1,2
5,3,305,2,4,30148,1,1
5,3,305,2,4,30149,1,1
4,4,414,1,2176,40031,1,2
4,4,414,1,2176,40033,1,1
4,4,414,1,2176,40034,1,1
4,4,414,1,2176,40037,1,2
4,4,415,1,2108,40041,1,1
4,4,415,1,2108,40042,1,2
4,4,415,1,2108,40043,1,2
4,4,415,1,2108,40044,1,2
4,4,415,1,2108,40045,1,2
4,4,415,1,2108,40046,1,2
4,4,415,1,2108,40047,1,2
4,4,415,1,2108,40049,1,1
4,4,415,1,2108,40050,1,2
4,4,413,2,1540,40051,1,2
4,4,413,2,1540,40053,1,2
4,4,413,2,1540,40054,1,2
4,4,413,2,1540,40055,1,1
4,4,413,2,1540,40056,1,1
4,4,413,2,1540,40058,2,1
4,4,413,2,1540,40060,1,1
4,4,405,2,722,40061,1,2
4,4,405,2,722,40062,1,2
4,4,405,2,722,40063,1,1
4,4,405,2,722,40064,1,1
4,4,405,2,722,40065,1,2
4,4,405,2,722,40066,1,1
4,4,405,2,722,40067,1,2
4,4,405,2,722,40068,1,2
4,4,405,2,722,40069,1,2
4,4,405,2,722,40070,1,2
4,4,405,2,484,40071,1,1
4,4,405,2,484,40072,1,2
4,4,405,2,484,40073,1,2
4,4,405,2,484,40074,1,1
4,4,405,2,484,40075,1,1
4,4,405,2,484,40076,1,2
4,4,405,2,484,40077,1,2
4,4,405,2,484,40078,1,2
4,4,405,2,484,40079,1,2
4,4,405,2,484,40080,1,2
4,4,419,2,296,40081,1,1
4,4,419,2,296,40082,1,1
4,4,419,2,296,40083,1,2
4,4,419,2,296,40084,1,2
4,4,419,2,296,40085,1,2
4,4,419,2,296,40086,1,1
4,4,419,2,296,40087,1,2
4,4,419,2,296,40088,1,2
4,4,419,2,296,40089,1,2
4,4,419,2,296,40090,1,2
4,4,401,1,1460,40091,1,2
4,4,401,1,1460,40093,1,1
4,4,401,1,1460,40094,1,1
4,4,401,1,1460,40095,1,2
4,4,401,1,1460,40096,1,2
4,4,401,1,1460,40097,1,2
4,4,401,1,1460,40098,1,2
4,4,401,1,1460,40099,1,1
4,4,412,2,2592,40101,1,2
4,4,412,2,2592,40103,1,2
4,4,412,2,2592,40104,1,2
4,4,412,2,2592,40105,1,2
4,4,412,2,2592,40106,1,2
4,4,412,2,2592,40107,1,2
4,4,412,2,2592,40108,1,2
4,4,412,2,2592,40109,1,2
4,4,412,2,2592,40110,1,2
4,4,412,2,1606,40111,1,2
4,4,412,2,1606,40112,1,2
4,4,412,2,1606,40116,1,2
4,4,412,2,1606,40119,1,2
4,4,410,2,4036,40122,1,2
4,4,410,2,4036,40123,1,2
4,4,410,2,4036,40124,1,2
4,4,410,2,4036,40125,1,2
4,4,410,2,4036,40126,1,2
4,4,410,2,4036,40128,1,2
4,4,410,2,4036,40129,1,2
4,4,410,2,4036,40130,1,2
4,4,407,2,796,40131,1,2
4,4,407,2,796,40132,1,1
4,4,407,2,796,40133,1,2
4,4,407,2,796,40134,1,2
4,4,407,2,796,40135,1,2
4,4,407,2,796,40136,1,2
4,4,407,2,796,40137,1,1
4,4,407,2,796,40138,1,1
4,4,407,2,796,40139,1,1
4,4,407,2,796,40140,1,2
4,4,410,1,3192,40141,1,2
4,4,410,1,3192,40142,1,2
4,4,410,1,3192,40144,1,2
4,4,410,1,3192,40145,1,2
4,4,410,1,3192,40146,1,2
4,4,410,1,3192,40147,1,1
4,4,410,1,3192,40148,1,1
4,4,410,1,3192,40149,1,1
4,4,410,1,3414,40151,1,2
4,4,410,1,3414,40152,1,1
4,4,410,1,3414,40155,1,2
4,4,410,1,3414,40156,1,2
4,4,410,1,3414,40158,1,1
4,4,410,1,3414,40159,2,1
4,4,410,1,3414,40160,1,2
4,4,401,1,738,40161,1,1
4,4,401,1,738,40162,1,2
4,4,401,1,738,40163,1,1
4,4,401,1,738,40164,1,1
4,4,401,1,738,40165,1,1
4,4,401,1,738,40166,1,2
4,4,401,1,738,40167,1,2
4,4,401,1,738,40168,1,2
4,4,401,1,738,40169,1,2
4,4,401,1,738,40170,1,2
4,4,421,1,800,40171,2,2
4,4,421,1,800,40172,1,2
4,4,421,1,800,40174,1,2
4,4,421,1,800,40176,1,2
4,4,421,1,800,40177,2,1
4,4,421,1,800,40178,1,1
4,4,421,1,800,40179,1,2
4,4,421,1,800,40180,1,1
4,4,411,1,1486,40181,1,2
4,4,411,1,1486,40182,1,2
4,4,411,1,1486,40183,1,2
4,4,411,1,1486,40184,1,2
4,4,411,1,1486,40185,1,2
4,4,411,1,1486,40186,1,2
4,4,411,1,1486,40187,1,2
4,4,411,1,1486,40188,1,2
4,4,411,1,1486,40189,1,2
4,4,411,1,1486,40190,1,2
4,4,401,2,2106,40191,1,2
4,4,401,2,2106,40192,1,2
4,4,401,2,2106,40193,1,2
4,4,401,2,2106,40194,1,1
4,4,401,2,2106,40195,1,2
4,4,401,2,2106,40196,1,2
4,4,401,2,2106,40197,1,2
4,4,401,2,2106,40198,1,1
4,4,401,2,2106,40199,1,2
4,4,401,2,2106,40200,1,2
4,4,402,2,1080,40201,1,2
4,4,402,2,1080,40202,1,2
4,4,402,2,1080,40204,1,2
4,4,402,2,1080,40205,1,2
4,4,402,2,1080,40206,1,2
4,4,402,2,1080,40207,1,2
4,4,402,2,1080,40208,1,2
4,4,402,2,1080,40209,1,2
4,4,402,2,1080,40210,1,2
4,4,403,2,836,40212,1,2
4,4,403,2,836,40213,1,2
4,4,403,2,836,40214,1,2
4,4,403,2,836,40215,1,2
4,4,403,2,836,40216,1,2
4,4,403,2,836,40217,1,2
4,4,403,2,836,40218,1,2
4,4,403,2,836,40219,1,2
4,4,403,2,836,40220,1,2
2,5,506,2,830,50001,1,2
2,5,506,2,830,50002,1,1
2,5,506,2,830,50003,1,2
2,5,506,2,830,50004,1,1
2,5,506,2,830,50006,1,1
2,5,506,2,830,50007,1,2
2,5,506,2,830,50008,1,2
2,5,506,2,830,50009,1,1
2,5,506,2,830,50010,1,2
2,5,502,1,2194,50011,2,2
2,5,502,1,2194,50013,2,2
2,5,502,1,2194,50016,1,1
2,5,515,2,18,50021,1,1
2,5,515,2,18,50022,1,1
2,5,515,2,18,50023,1,2
2,5,515,2,18,50024,1,1
2,5,515,2,18,50025,1,1
2,5,515,2,18,50026,1,1
2,5,515,2,18,50027,1,1
2,5,515,2,18,50028,1,2
2,5,515,2,18,50029,1,1
2,5,515,2,18,50030,1,2
2,5,502,2,3878,50031,1,1
2,5,502,2,3878,50032,1,1
2,5,502,2,3878,50033,1,2
2,5,502,2,3878,50034,1,1
2,5,502,2,3878,50035,1,2
2,5,502,2,3878,50036,1,2
2,5,502,2,3878,50037,1,2
2,5,502,2,3878,50038,1,2
2,5,502,2,3878,50039,1,2
2,5,502,2,3878,50040,1,1
2,5,504,2,708,50041,1,1
2,5,504,2,708,50042,1,1
2,5,504,2,708,50043,1,2
2,5,504,2,708,50044,1,2
2,5,504,2,708,50045,1,2
2,5,504,2,708,50046,1,2
2,5,504,2,708,50047,1,2
2,5,504,2,708,50048,1,1
2,5,504,2,708,50049,1,2
2,5,504,2,708,50050,1,2
2,5,513,2,348,50051,1,1
2,5,513,2,348,50052,1,2
2,5,513,2,348,50053,1,2
2,5,513,2,348,50054,1,2
2,5,513,2,348,50055,1,2
2,5,513,2,348,50056,1,2
2,5,513,2,348,50057,1,2
2,5,513,2,348,50058,1,2
2,5,513,2,348,50059,1,2
2,5,513,2,348,50060,1,2
2,5,514,2,710,50061,1,2
2,5,514,2,710,50062,1,2
2,5,514,2,710,50063,1,1
2,5,514,2,710,50064,1,2
2,5,514,2,710,50065,1,2
2,5,514,2,710,50066,1,2
2,5,514,2,710,50067,1,1
2,5,514,2,710,50068,1,1
2,5,514,2,710,50069,1,1
2,5,514,2,710,50070,1,2
2,5,501,2,60,50071,1,2
2,5,501,2,60,50072,1,1
2,5,501,2,60,50073,1,2
2,5,501,2,60,50074,1,2
2,5,501,2,60,50075,1,1
2,5,501,2,60,50076,1,2
2,5,501,2,60,50077,1,2
2,5,501,2,60,50079,1,2
2,5,501,2,60,50080,1,2
2,5,516,2,942,50081,1,2
2,5,516,2,942,50082,1,2
2,5,516,2,942,50083,1,2
2,5,516,2,942,50084,1,2
2,5,516,2,942,50085,1,1
2,5,516,2,942,50086,1,1
2,5,516,2,942,50087,1,1
2,5,516,2,942,50088,1,2
2,5,516,2,942,50089,1,1
2,5,516,2,942,50090,1,2
2,5,508,2,984,50091,1,2
2,5,508,2,984,50092,1,2
2,5,508,2,984,50093,1,2
2,5,508,2,984,50094,1,2
2,5,508,2,984,50095,1,2
2,5,508,2,984,50096,1,2
2,5,508,2,984,50097,1,1
2,5,508,2,984,50098,1,2
2,5,508,2,984,50099,1,2
2,5,508,2,984,50100,1,2
2,5,514,1,2036,50101,2,2
2,5,514,1,2036,50102,1,2
2,5,514,1,2036,50103,2,2
2,5,514,1,2036,50107,1,2
2,5,514,1,2036,50109,1,1
2,5,514,1,2036,50110,1,2
2,5,508,2,718,50111,1,1
2,5,508,2,718,50112,1,2
2,5,508,2,718,50113,1,1
2,5,508,2,718,50114,1,2
2,5,508,2,718,50115,2,2
2,5,508,2,718,50116,1,2
2,5,508,2,718,50117,1,1
2,5,508,2,718,50118,1,2
2,5,508,2,718,50119,1,2
2,5,508,2,718,50120,1,2
2,5,510,1,872,50121,1,2
2,5,510,1,872,50124,1,2
2,5,510,1,872,50125,1,1
2,5,510,1,872,50126,1,2
2,5,510,1,872,50127,1,2
2,5,518,2,1588,50131,1,2
2,5,518,2,1588,50132,1,2
2,5,518,2,1588,50133,1,2
2,5,518,2,1588,50134,1,1
2,5,518,2,1588,50135,1,2
2,5,518,2,1588,50136,1,1
2,5,518,2,1588,50137,1,2
2,5,518,2,1588,50138,1,2
2,5,518,2,1588,50139,1,2
2,5,518,2,1588,50140,1,2
2,5,510,2,1516,50141,1,2
2,5,510,2,1516,50142,1,1
2,5,510,2,1516,50143,1,1
2,5,510,2,1516,50144,1,1
2,5,510,2,1516,50145,1,2
2,5,510,2,1516,50146,1,1
2,5,510,2,1516,50147,1,2
2,5,510,2,1516,50148,1,1
2,5,510,2,1516,50149,1,1
2,5,510,2,1516,50150,1,1
2,5,518,2,1304,50151,1,2
2,5,518,2,1304,50152,1,2
2,5,518,2,1304,50153,1,2
2,5,518,2,1304,50154,1,2
2,5,518,2,1304,50155,1,2
2,5,518,2,1304,50157,1,2
2,5,518,2,1304,50158,1,1
2,5,518,2,1304,50159,1,2
2,5,518,2,1304,50160,1,2
2,5,520,2,1756,50161,1,1
2,5,520,2,1756,50162,1,1
2,5,520,2,1756,50163,1,1
2,5,520,2,1756,50164,1,1
2,5,520,2,1756,50165,1,1
2,5,520,2,1756,50166,1,2
2,5,520,2,1756,50167,1,1
2,5,520,2,1756,50168,1,2
2,5,520,2,1756,50169,1,2
2,5,520,2,1756,50170,1,2
5,6,602,2,1356,60003,1,2
5,6,602,2,1356,60004,1,2
5,6,602,2,1356,60005,1,1
5,6,602,2,1356,60008,1,2
5,6,602,2,1356,60009,1,1
5,6,602,2,1356,60010,1,2
5,6,606,2,1372,60015,1,2
5,6,606,2,1372,60016,1,2
5,6,606,2,1372,60017,1,2
5,6,606,2,1372,60019,1,2
5,6,606,2,1372,60020,1,2
5,6,608,1,3978,60021,1,2
5,6,608,1,3978,60022,1,2
5,6,608,1,3978,60025,1,2
5,6,608,1,3978,60026,1,2
5,6,608,1,3978,60027,1,2
5,6,608,1,3978,60028,1,2
5,6,608,1,3978,60029,1,2
5,6,608,1,3978,60030,1,2
5,6,607,2,1892,60037,1,2
5,6,607,2,1892,60038,2,1
5,6,607,2,1892,60040,1,2
5,6,601,2,640,60048,2,2
1,7,707,2,560,70001,1,1
1,7,707,2,560,70002,1,1
1,7,707,2,560,70003,1,1
1,7,707,2,560,70004,1,1
1,7,707,2,560,70006,1,2
1,7,707,2,560,70007,1,1
1,7,707,2,560,70008,1,1
1,7,707,2,560,70009,1,1
1,7,707,2,560,70010,1,1
1,7,708,2,754,70011,1,2
1,7,708,2,754,70012,1,1
1,7,708,2,754,70013,1,1
1,7,708,2,754,70014,1,1
1,7,708,2,754,70015,1,1
1,7,708,2,754,70016,1,1
1,7,708,2,754,70017,1,2
1,7,708,2,754,70018,1,1
1,7,708,2,754,70019,1,1
1,7,708,2,754,70020,1,1
1,7,705,2,4186,70021,1,1
1,7,705,2,4186,70022,1,2
1,7,705,2,4186,70023,1,1
1,7,705,2,4186,70024,1,1
1,7,705,2,4186,70025,1,1
1,7,705,2,4186,70026,1,1
1,7,705,2,4186,70027,1,1
1,7,705,2,4186,70028,1,1
1,7,705,2,4186,70029,1,2
1,7,705,2,4186,70030,1,2
1,7,722,2,234,70031,1,1
1,7,722,2,234,70032,1,1
1,7,722,2,234,70033,1,2
1,7,722,2,234,70034,1,1
1,7,722,2,234,70035,1,2
1,7,722,2,234,70036,1,1
1,7,722,2,234,70037,1,2
1,7,722,2,234,70038,1,1
1,7,722,2,234,70039,1,1
1,7,722,2,234,70040,1,1
1,7,722,2,892,70041,1,1
1,7,722,2,892,70042,1,1
1,7,722,2,892,70043,1,2
1,7,722,2,892,70044,1,2
1,7,722,2,892,70045,1,2
1,7,722,2,892,70046,1,1
1,7,722,2,892,70047,1,1
1,7,722,2,892,70048,1,1
1,7,722,2,892,70049,1,1
1,7,722,2,892,70050,1,1
1,7,710,2,2726,70051,1,1
1,7,710,2,2726,70052,1,2
1,7,710,2,2726,70053,1,1
1,7,710,2,2726,70054,1,2
1,7,710,2,2726,70055,1,2
1,7,710,2,2726,70056,1,1
1,7,710,2,2726,70057,1,1
1,7,710,2,2726,70058,1,2
1,7,710,2,2726,70059,1,1
1,7,710,2,2726,70060,1,1
1,7,711,2,2532,70061,1,2
1,7,711,2,2532,70062,1,2
1,7,711,2,2532,70063,1,1
1,7,711,2,2532,70064,1,1
1,7,711,2,2532,70066,1,2
1,7,711,2,2532,70067,1,1
1,7,711,2,2532,70068,1,1
1,7,711,2,2532,70069,1,1
1,7,711,2,2532,70070,1,1
1,7,709,2,1226,70071,1,1
1,7,709,2,1226,70072,1,2
1,7,709,2,1226,70073,1,1
1,7,709,2,1226,70074,1,2
1,7,709,2,1226,70075,1,1
1,7,709,2,1226,70076,1,1
1,7,709,2,1226,70077,1,1
1,7,709,2,1226,70078,1,1
1,7,709,2,1226,70079,1,1
1,7,709,2,1226,70080,1,1
1,7,719,1,1612,70083,1,1
1,7,719,1,1612,70084,1,1
1,7,719,1,1612,70088,1,1
1,7,717,2,1248,70091,1,1
1,7,717,2,1248,70092,1,1
1,7,717,2,1248,70093,1,1
1,7,717,2,1248,70094,1,1
1,7,717,2,1248,70095,1,1
1,7,717,2,1248,70096,1,1
1,7,717,2,1248,70097,1,1
1,7,717,2,1248,70098,1,1
1,7,717,2,1248,70099,1,1
1,7,717,2,1248,70100,1,1
1,7,701,2,606,70101,1,1
1,7,701,2,606,70102,1,1
1,7,701,2,606,70103,1,1
1,7,701,2,606,70104,1,1
1,7,701,2,606,70105,1,1
1,7,701,2,606,70106,1,1
1,7,701,2,606,70107,1,1
1,7,701,2,606,70108,1,1
1,7,701,2,606,70109,1,1
1,7,701,2,606,70110,1,1
1,7,702,2,632,70111,1,1
1,7,702,2,632,70112,1,1
1,7,702,2,632,70113,1,1
1,7,702,2,632,70114,1,1
1,7,702,2,632,70115,1,1
1,7,702,2,632,70116,1,1
1,7,702,2,632,70117,1,1
1,7,702,2,632,70118,1,1
1,7,702,2,632,70119,1,1
1,7,702,2,632,70120,1,1
1,7,718,2,1640,70121,1,1
1,7,718,2,1640,70122,1,1
1,7,718,2,1640,70123,1,1
1,7,718,2,1640,70124,1,1
1,7,718,2,1640,70125,1,1
1,7,718,2,1640,70126,1,1
1,7,718,2,1640,70127,1,1
1,7,718,2,1640,70128,1,1
1,7,718,2,1640,70129,1,1
1,7,718,2,1640,70130,1,1
1,7,715,2,780,70131,1,1
1,7,715,2,780,70132,1,1
1,7,715,2,780,70133,1,1
1,7,715,2,780,70134,1,1
1,7,715,2,780,70135,1,1
1,7,715,2,780,70136,1,1
1,7,715,2,780,70137,1,1
1,7,715,2,780,70138,1,1
1,7,715,2,780,70139,1,1
1,7,715,2,780,70140,1,1
1,7,715,1,294,70141,1,2
1,7,715,1,294,70142,1,1
1,7,715,1,294,70143,1,1
1,7,715,1,294,70150,1,1
1,7,713,2,304,70154,1,1
1,7,713,2,304,70156,2,2
1,7,713,2,304,70157,1,1
2,8,821,1,1448,80011,1,2
2,8,821,1,1448,80012,1,2
2,8,821,1,1448,80013,1,2
2,8,821,1,1448,80014,1,2
2,8,821,1,1448,80015,1,2
2,8,821,1,1448,80016,1,2
2,8,821,1,1448,80018,1,2
2,8,821,1,1448,80019,1,2
2,8,821,1,1448,80020,1,2
2,8,821,1,5062,80023,1,2
2,8,821,1,5062,80025,,
2,8,821,1,5062,80026,,
2,8,821,1,5062,80028,2,2
2,8,821,1,5062,80030,1,1
2,8,816,2,1270,80031,1,2
2,8,816,2,1270,80032,1,2
2,8,816,2,1270,80033,1,1
2,8,816,2,1270,80034,1,1
2,8,816,2,1270,80035,1,2
2,8,816,2,1270,80036,1,2
2,8,816,2,1270,80037,1,2
2,8,816,2,1270,80038,1,2
2,8,816,2,1270,80039,1,1
2,8,816,2,1270,80040,1,1
2,8,803,1,944,80041,1,2
2,8,803,1,944,80043,1,2
2,8,803,1,944,80044,1,1
2,8,803,1,944,80045,,
2,8,803,1,944,80047,1,2
2,8,803,1,944,80048,1,2
2,8,803,1,944,80049,2,2
2,8,811,1,1558,80051,1,2
2,8,811,1,1558,80053,1,2
2,8,811,1,1558,80054,1,2
2,8,811,1,1558,80055,1,2
2,8,811,1,1558,80057,1,2
2,8,811,1,1558,80058,1,2
2,8,811,1,1558,80059,1,2
2,8,811,1,1558,80060,1,2
2,8,811,2,390,80061,1,2
2,8,811,2,390,80062,1,2
2,8,811,2,390,80063,1,1
2,8,811,2,390,80064,1,1
2,8,811,2,390,80065,,
2,8,811,2,390,80066,1,2
2,8,811,2,390,80067,1,2
2,8,811,2,390,80068,1,2
2,8,811,2,390,80070,1,2
2,8,802,2,1152,80071,1,2
2,8,802,2,1152,80072,1,1
2,8,802,2,1152,80073,1,2
2,8,802,2,1152,80074,1,2
2,8,802,2,1152,80075,1,2
2,8,802,2,1152,80076,1,2
2,8,802,2,1152,80077,1,2
